Category,count,mean,median,std
dating,15,0.33629629629629626,0.3833333333333333,0.13761105290363246
recycling assistant,22,0.33611111111111114,0.3666666666666667,0.12084055503566933
astronomy apps,8,0.3361111111111111,0.30277777777777776,0.14324902159159364
text expander,11,0.33535353535353535,0.3722222222222222,0.09562248067439726
vendor management,14,0.33531746031746035,0.32500000000000007,0.1634244054322047
outfit randomizer,2,0.33333333333333337,0.33333333333333337,0.18856180831641264
projects,6,0.3333333333333333,0.3416666666666667,0.11423389477755445
fashion,22,0.3325757575757576,0.25555555555555554,0.14308780347009764
kids education,28,0.3325396825396826,0.3111111111111111,0.1182937131619829
mental health,33,0.331986531986532,0.3055555555555555,0.13391820724866857
ambient lighting controller,5,0.3311111111111111,0.3444444444444444,0.09031836694386924
construction estimator,12,0.33055555555555555,0.3555555555555555,0.11897665032312008
travel wardrobe planner,9,0.3302469135802469,0.3388888888888889,0.06945061700962658
real estate,27,0.32983539094650205,0.3111111111111111,0.13765389512707793
ecommerce,23,0.3294685990338164,0.3333333333333334,0.1079920132377598
gift,4,0.32916666666666666,0.275,0.21190761050737772
restaurant waitlist tracker,11,0.32878787878787874,0.3,0.1746039288977541
News and Magazines,40,0.3284722222222222,0.2861111111111111,0.13005944716707143
college club organizers,23,0.32753623188405795,0.2666666666666667,0.1744518291307485
smartwatch,22,0.32676767676767676,0.2972222222222223,0.12960660827667708
dance tutorial apps,5,0.3266666666666667,0.3055555555555556,0.04451383472002255
ethics scenario trainer,10,0.32666666666666666,0.3055555555555556,0.1537773139220864
estate planning tools,5,0.32555555555555554,0.3722222222222222,0.1297314414996621
home brewing,22,0.3255050505050505,0.29444444444444445,0.11209431511812787
recipe organizer,22,0.3252525252525253,0.3,0.17608926368523029
music games,23,0.3251207729468599,0.2777777777777778,0.12432612481718304
Music and Audio,33,0.32474747474747473,0.2666666666666667,0.15363453526628407
travel tipping guide,8,0.32361111111111107,0.3,0.16941516791056754
gardening,23,0.3231884057971014,0.3333333333333333,0.12422207059305997
note taking,32,0.32274305555555555,0.2666666666666667,0.1660823651119972
maps,9,0.32222222222222224,0.2444444444444445,0.2003469213361885
health,2,0.3222222222222222,0.3222222222222222,0.015713484026367727
quiz,32,0.3215277777777778,0.3166666666666667,0.13092014219370185
space weather apps,5,0.3211111111111111,0.2333333333333333,0.2014760347847669
speedometer apps,9,0.3209876543209877,0.3111111111111111,0.16355374814487111
oceanography,13,0.32094017094017097,0.3,0.13015410789215573
industrial IoT dashboard,3,0.32037037037037036,0.2833333333333333,0.18064812441862516
speech timing tools,3,0.32037037037037036,0.2555555555555555,0.14211077809592354
karaoke apps,18,0.32037037037037036,0.3583333333333333,0.12456168613529826
wine pairing apps,6,0.32037037037037036,0.2861111111111111,0.11405362972161338
skincare routine tracker,14,0.32023809523809527,0.3111111111111111,0.11554419616375344
retirement planner,17,0.31993464052287585,0.3555555555555555,0.14874810434949134
architecture sketch tools,18,0.3197530864197531,0.2777777777777778,0.15365579220193706
radio,19,0.3195906432748538,0.3,0.11150191182692074
calendar,18,0.3191358024691358,0.3416666666666667,0.09443910446691833
translation,24,0.3189814814814815,0.3055555555555556,0.15632930980565365
teleprompter,12,0.31851851851851853,0.2972222222222222,0.16185535750389082
notes,7,0.3174603174603175,0.3222222222222222,0.16372177831220125
parking locator,12,0.31712962962962965,0.3305555555555556,0.10563416353528211
calorie density guide,4,0.31666666666666665,0.30833333333333335,0.1737388419012432
STEM learning,19,0.316374269005848,0.3055555555555556,0.13177423959257253
macro automation,13,0.3162393162393162,0.2833333333333333,0.15408467186322336
chemistry lab simulator,8,0.3159722222222222,0.3055555555555556,0.1071285263784636
community bulletin board,15,0.31592592592592594,0.3333333333333333,0.13099582412307545
strategy,44,0.3156565656565657,0.3111111111111111,0.11893797875217842
camping,33,0.3153198653198653,0.2833333333333333,0.13511562194811425
shopping,22,0.3148989898989899,0.30833333333333335,0.09377111933213018
anonymous chat,21,0.3148148148148148,0.3111111111111111,0.11239993263328532
productivity tools,21,0.31481481481481477,0.2833333333333333,0.14891928932314405
word games,45,0.3145679012345679,0.3,0.11043537506769487
